Date,Weight
8/24/16,226
8/28/16,225
8/29/16,226
9/7/16,226
9/12/16,229
9/24/16,228
9/26/16,228
9/30/16,224
10/3/16,225
10/7/16,223
10/13/16,222
10/14/16,219
10/18/16,224
10/19/16,222
10/20/16,224
10/25/16,226
10/26/16,226
10/27/16,226
10/28/16,225
10/31/16,225
11/1/16,224
11/2/16,224
11/7/16,228
11/9/16,226
11/10/16,228
11/11/16,228
11/14/16,227
11/15/16,226
11/21/16,226
11/22/16,227
11/23/16,227
11/24/16,227
11/28/16,225
11/29/16,226
11/30/16,226
12/1/16,227
12/2/16,226
12/5/16,228
12/6/16,224
12/7/16,226
12/12/16,229
12/13/16,228
12/14/16,227
12/15/16,229
12/16/16,228
1/4/17,228
1/5/17,228
1/6/17,228
1/9/17,228
1/10/17,228
1/12/17,226
1/17/17,225
1/18/17,224
1/19/17,225
1/25/17,227
1/26/17,226
1/27/17,226
1/30/17,224
1/31/17,226
2/1/17,228
2/2/17,227
2/3/17,226
2/6/17,225
2/8/17,225
2/9/17,224
2/11/17,224
2/13/17,227
2/14/17,226
2/16/17,225
2/17/17,225
2/22/17,224
3/6/17,226
3/7/17,225
3/8/17,227
3/9/17,226
3/10/17,226
3/13/17,227
3/14/17,225
3/15/17,226
3/16/17,229
3/17/17,228
4/11/17,227
4/13/17,225
4/14/17,226
4/15/17,225
4/17/17,227
4/18/17,226
4/19/17,226
4/20/17,226
4/21/17,226
4/28/17,228
5/1/17,229
5/9/17,231
5/10/17,230
5/11/17,229
5/12/17,229
5/16/17,233
5/18/17,232
5/19/17,231
5/22/17,233
5/23/17,234
5/25/17,234
5/26/17,232
5/30/17,233
5/31/17,234
6/1/17,233
6/2/17,233
6/4/17,234
6/5/17,235
6/6/17,234
6/7/17,236
6/8/17,235
6/9/17,235
6/11/17,232
6/12/17,233
